model,n_normal,mean_normal_score,median_normal_score,std_normal_score,mad_normal_score,min_normal_score,p10_normal_score,p25_normal_score,p75_normal_score,p90_normal_score,p95_normal_score,max_normal_score,iqr_normal_score,p90_p10_normal_score,max_median_normal_score
adaptclip,58,0.8255,0.8224,0.0159,0.0094,0.7957,0.8066,0.8154,0.8355,0.8436,0.8552,0.8679,0.0201,0.037,0.0455
anomalyclip,58,0.9912,0.9915,0.003,0.0018,0.9822,0.9871,0.9898,0.9933,0.9944,0.9947,0.9953,0.0036,0.0072,0.0038
winclip,58,0.0851,0.0793,0.0357,0.0209,0.0295,0.0441,0.0639,0.1036,0.1507,0.1565,0.1733,0.0397,0.1065,0.094
