model,dataset,class,defect_type,auroc_pct,n_defect,std_defect_score,iqr_defect_score,range_defect_score,defect_to_good_std_ratio,bottom_anomaly_score,mean_defect_score
anomalyclip,mvtec,pill,scratch,82.5321,24,0.0056,0.0054,0.0213,0.8555,0.972,0.9825
anomalyclip,mvtec,pill,contamination,84.4322,21,0.0043,0.0058,0.0164,0.6546,0.975,0.9821
anomalyclip,mvtec,pill,pill_type,97.4359,9,0.0034,0.0036,0.011,0.5155,0.9844,0.9916
winclip,mvtec,transistor,misplaced,95.3333,10,0.1582,0.2405,0.4653,2.1384,0.272,0.4866
winclip,mvtec,cable,bent_wire,93.2361,13,0.155,0.2179,0.5038,4.3475,0.0851,0.271
winclip,mvtec,transistor,damaged_case,95.0833,10,0.1543,0.1878,0.4797,2.0855,0.2751,0.4552
winclip,visa,cashew,Anomaly,90.95,100,0.1218,0.1682,0.599,2.8804,0.2018,0.4559
winclip,mvtec,cable,missing_cable,90.5891,12,0.114,0.0717,0.4138,3.1964,0.0706,0.2086
winclip,mvtec,screw,thread_top,84.5175,23,0.1107,0.1276,0.4043,1.8031,0.1733,0.3272
winclip,mvtec,transistor,bent_lead,88.25,10,0.1053,0.1215,0.3579,1.4228,0.1968,0.3585
winclip,mvtec,cable,cut_inner_insulation,84.7906,14,0.1001,0.1122,0.3201,2.8084,0.0759,0.1805
winclip,mvtec,screw,scratch_neck,75.2683,25,0.089,0.0967,0.3723,1.4507,0.1824,0.2736
winclip,mvtec,cable,combined,93.5737,11,0.0821,0.131,0.2529,2.3018,0.094,0.2046
winclip,mvtec,transistor,cut_lead,78.75,10,0.0819,0.083,0.2894,1.1069,0.1871,0.2934
winclip,mvtec,screw,scratch_head,76.7785,24,0.0799,0.08,0.35,1.3014,0.15,0.2784
winclip,mvtec,pill,faulty_imprint,88.9676,19,0.0754,0.0659,0.2975,1.8835,0.2338,0.3254
winclip,mvtec,screw,manipulated_front,50.3049,24,0.0693,0.093,0.3001,1.1292,0.1225,0.2136
winclip,mvtec,pill,crack,81.5828,26,0.068,0.0854,0.2632,1.6991,0.1824,0.3024
winclip,mvtec,screw,thread_side,73.5419,23,0.0646,0.0679,0.2764,1.0523,0.1384,0.2584
winclip,mvtec,pill,combined,99.6606,17,0.0634,0.0835,0.2239,1.584,0.3074,0.418
winclip,visa,macaroni2,Anomaly,66.795,100,0.0584,0.0716,0.2815,1.1057,0.0496,0.1364
winclip,mvtec,cable,cut_outer_insulation,83.4483,10,0.056,0.0538,0.1944,1.5716,0.0854,0.1408
winclip,mvtec,pill,pill_type,5.3419,9,0.0546,0.0679,0.1621,1.364,0.0396,0.1353
winclip,mvtec,pill,scratch,87.5,24,0.0545,0.0546,0.2402,1.3632,0.1824,0.3061
winclip,mvtec,cable,cable_swap,82.5431,12,0.0537,0.0412,0.2166,1.5069,0.0688,0.1369
winclip,mvtec,pill,contamination,87.7289,21,0.0528,0.0525,0.1866,1.3197,0.2281,0.3054
winclip,mvtec,pill,color,78.9231,25,0.048,0.0814,0.1663,1.1986,0.1968,0.2854
winclip,mvtec,cable,missing_wire,72.2414,10,0.0472,0.0551,0.1368,1.3228,0.0637,0.1185
winclip,mvtec,cable,poke_insulation,77.5862,10,0.0345,0.0504,0.1008,0.9677,0.0637,0.1226
winclip,visa,pcb2,Anomaly,47.03,100,0.0339,0.0528,0.1735,0.7638,0.0716,0.1463
winclip,visa,macaroni1,Anomaly,78.83,100,0.0276,0.0267,0.1632,1.5911,0.0311,0.075
winclip,visa,pcb3,Anomaly,63.6584,100,0.016,0.0197,0.092,1.2136,0.0357,0.0632
