model,dataset,class,defect_type,auroc,auroc_pct,n_good,n_defect,mean_good_score,mean_defect_score,score_gap,std_good_score,std_defect_score,iqr_defect_score,range_defect_score,defect_to_good_std_ratio,top_normal_score,bottom_anomaly_score,rank_low_to_high,weak_defect_type
adaptclip,mvtec,cable,missing_cable,0.6494252873563218,64.94252873563218,58,12,0.8254736949657572,0.8337186972300211,0.008245002264263945,0.015927328215094603,0.021593639050663437,0.02634967863559723,0.07566297054290771,1.3557602856578779,0.8678805232048035,0.7895269393920898,1,True
adaptclip,mvtec,cable,cable_swap,0.7456896551724138,74.56896551724138,58,12,0.8254736949657572,0.8417322238286337,0.016258528862876487,0.015927328215094603,0.019556031101404796,0.014040395617485046,0.0656125545501709,1.227828725402369,0.8678805232048035,0.8137919902801514,2,True
adaptclip,mvtec,cable,cut_inner_insulation,0.79064039408867,79.064039408867,58,14,0.8254736949657572,0.8477401392800468,0.02226644431428959,0.015927328215094603,0.02409337597378294,0.03914107382297516,0.07010471820831299,1.5127066918197387,0.8678805232048035,0.8200628757476807,3,True
adaptclip,mvtec,cable,bent_wire,0.810344827586207,81.0344827586207,58,13,0.8254736949657572,0.8548660920216486,0.029392397055891473,0.015927328215094603,0.029544427149596042,0.0372348427772522,0.08880043029785156,1.8549518632758681,0.8678805232048035,0.8170427083969116,4,False
adaptclip,mvtec,cable,missing_wire,0.9137931034482758,91.37931034482759,58,10,0.8254736949657572,0.8621610045433045,0.03668730957754729,0.015927328215094603,0.02606227724445196,0.013771072030067444,0.10421353578567505,1.6363244916214066,0.8678805232048035,0.821090579032898,5,False
adaptclip,mvtec,cable,poke_insulation,0.9344827586206896,93.44827586206897,58,10,0.8254736949657572,0.8741940677165985,0.04872037275084129,0.015927328215094603,0.029686028547100708,0.03154550492763519,0.09890604019165039,1.8638423310048164,0.8678805232048035,0.823908805847168,6,False
adaptclip,mvtec,cable,combined,0.938871473354232,93.88714733542321,58,11,0.8254736949657572,0.8681619925932451,0.04268829762748794,0.015927328215094603,0.02778152906921669,0.052085697650909424,0.06905317306518555,1.744268008672519,0.8678805232048035,0.8390434980392456,7,False
adaptclip,mvtec,cable,cut_outer_insulation,0.9793103448275862,97.93103448275862,58,10,0.8254736949657572,0.8925082087516785,0.06703451378592129,0.015927328215094603,0.034973075335377087,0.06562913954257976,0.08709007501602173,2.1957904592078727,0.8678805232048035,0.8542880415916443,8,False
adaptclip,mvtec,pill,crack,0.826923076923077,82.6923076923077,26,26,0.4704058812214778,0.6462309520978194,0.17582507087634164,0.1332328071798948,0.14558405951806622,0.23938286304473877,0.4845147132873535,1.0927042865763115,0.7913850545883179,0.3796479105949402,1,False
adaptclip,mvtec,pill,scratch,0.842948717948718,84.2948717948718,26,24,0.4704058812214778,0.673215019206206,0.20280913798472816,0.1332328071798948,0.14585705415443126,0.20801851153373718,0.5092104375362396,1.0947532911881894,0.7913850545883179,0.3940893113613128,2,False
adaptclip,mvtec,pill,color,0.8492307692307692,84.92307692307692,26,25,0.4704058812214778,0.6636090075969696,0.1932031263754918,0.1332328071798948,0.14093890212217555,0.19933390617370605,0.5185995101928711,1.0578393197996327,0.7913850545883179,0.3338441848754883,3,False
adaptclip,mvtec,pill,contamination,0.8663003663003663,86.63003663003663,26,21,0.4704058812214778,0.6818148138977232,0.21140893267624544,0.1332328071798948,0.1428927814819309,0.23903995752334595,0.4440123438835144,1.0725044717326486,0.7913850545883179,0.4559449553489685,4,False
adaptclip,mvtec,pill,pill_type,0.9102564102564102,91.02564102564102,26,9,0.4704058812214778,0.7450470990604825,0.2746412178390047,0.1332328071798948,0.14806834482205578,0.16132885217666626,0.436752736568451,1.111350484585449,0.7913850545883179,0.4304725527763366,5,False
adaptclip,mvtec,pill,faulty_imprint,0.9129554655870444,91.29554655870444,26,19,0.4704058812214778,0.7263910582191065,0.25598517699762874,0.1332328071798948,0.10873094269992507,0.14566665887832642,0.3616971969604492,0.8160973637154804,0.7913850545883179,0.5186254978179932,6,False
adaptclip,mvtec,pill,combined,0.9230769230769231,92.3076923076923,26,17,0.4704058812214778,0.7523916924701017,0.28198581124862393,0.1332328071798948,0.13883179351996858,0.20072489976882935,0.448739469051361,1.0420240814449993,0.7913850545883179,0.4784376621246338,7,False
adaptclip,mvtec,screw,thread_side,0.8123011664899258,81.23011664899258,41,23,0.8118767403974766,0.8589954220730326,0.047118681675555996,0.032563552137163373,0.041707919175323245,0.07347935438156128,0.14378708600997925,1.280816017848489,0.909407377243042,0.7766056060791016,1,False
adaptclip,mvtec,screw,scratch_neck,0.8234146341463414,82.34146341463415,41,25,0.8118767403974766,0.8660953617095948,0.05421862131211819,0.032563552137163373,0.05332112116133172,0.06554102897644043,0.2041187882423401,1.6374479337123247,0.909407377243042,0.7557041049003601,2,False
adaptclip,mvtec,screw,scratch_head,0.8404471544715448,84.04471544715449,41,24,0.8118767403974766,0.8456478789448738,0.03377113854739722,0.032563552137163373,0.026771312692207894,0.023685574531555176,0.11088407039642345,0.822125073439238,0.909407377243042,0.8136001825332642,3,False
adaptclip,mvtec,screw,manipulated_front,0.8963414634146342,89.63414634146342,41,24,0.8118767403974766,0.8801478346188863,0.06827109422140976,0.032563552137163373,0.04617524584162665,0.061993107199668884,0.16814273595809937,1.4180039587551272,0.909407377243042,0.7986082434654236,4,False
adaptclip,mvtec,screw,thread_top,0.9225874867444327,92.25874867444327,41,23,0.8118767403974766,0.8899666563324307,0.07808991593495407,0.032563552137163373,0.04440630595562491,0.06974631547927856,0.14286303520202637,1.3636812645186185,0.909407377243042,0.8145459890365601,5,False
adaptclip,mvtec,transistor,misplaced,0.7816666666666666,78.16666666666666,60,10,0.7394253174463908,0.8086093306541443,0.06918401320775347,0.05501575385363101,0.07292397857322142,0.09054908156394958,0.22350555658340465,1.3255108485332239,0.8778250217437744,0.6869765520095825,1,True
