model,n_normal,mean_normal_score,median_normal_score,std_normal_score,mad_normal_score,min_normal_score,p10_normal_score,p25_normal_score,p75_normal_score,p90_normal_score,p95_normal_score,max_normal_score,iqr_normal_score,p90_p10_normal_score,max_median_normal_score
adaptclip,28,0.1278,0.1438,0.0481,0.0255,0.0451,0.0579,0.067,0.1669,0.1733,0.1849,0.1904,0.0999,0.1154,0.0467
anomalyclip,28,0.2206,0.2126,0.0292,0.0164,0.1713,0.1934,0.2038,0.2381,0.2653,0.2712,0.2903,0.0342,0.0719,0.0778
winclip,28,0.0362,0.0336,0.0163,0.0078,0.0164,0.021,0.0256,0.0397,0.0552,0.0666,0.0888,0.0141,0.0342,0.0552
